cluster,,,,37m,37m,37m
ll,,,,v3.0,v3.0,v3.0
opt,,,,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL,3H-I-T-H-B-A-CCL
AC,links,BA0 0,H2 Electrolysis0,-3.2331105160641034,-3.2980255707875763,-14.554349774952135
AC,links,BA0 0,Haber-Bosch0,-14.428911004535419,-1.2426276270909422,-1.0263336449630538
AC,links,BA0 0,battery charger0,-10.187562465018518,-4.827313749450838,-4.200399352316223
AC,links,BA0 0,electricity distribution grid0,-9954474.686270297,-6704129.207631804,-4145813.7340651043
AC,links,BA0 0,helmeth0,-1.2084710802616265,-0.48434428774973204,-0.392235593122358
AC,links,BA0 0 H2,H2 Fuel Cell1,1.2761327772789017,0.46806843980795365,0.29793688975840915
AC,links,BA0 0 H2,methanolisation2,-20.97055792541778,-40.11650086467995,-23.19158803860674
AC,links,BA0 0 battery,battery discharger1,9.16880663584936,4.344582588319945,3.7803596966865154
AC,links,BA0 0 gas,CCGT1,3.153371848458437,1.3174649232415863,0.2694504105794121
AC,links,BA0 0 gas,OCGT1,0.9412205042357675,0.313391323527016,0.09660090192528102
AC,links,BA0 0 gas,urban central gas CHP CC1,2.109759401957782,0.8217363668044984,0.24294184881312117
AC,links,BA0 0 gas,urban central gas CHP1,3.1660495809320675,1.3689696090884784,0.36522584275525816
AC,links,BA0 0 solid biomass,solid biomass1,1.5668490323065405,0.8804873733528964,0.40168431246853953
AC,links,BA0 0 solid biomass,urban central solid biomass CHP CC1,2.815811540980352,1.3327531537422879,1.4661452308826115
AC,links,BA0 0 solid biomass,urban central solid biomass CHP1,151949.00892322825,177341.17173315687,198236.8466855871
AC,links,BE0 0,H2 Electrolysis0,-3.2937192464710043,-4.248432797633086,-16.877838802360447
AC,links,BE0 0,Haber-Bosch0,-13.130407280593424,-1.2936915256324628,-0.8383799923737583
AC,links,BE0 0,battery charger0,-10.390049966835818,-4.45479142675298,-3.721072382102066
AC,links,BE0 0,electricity distribution grid0,-109495748.0595691,-118687902.52961005,-133727515.56967098
AC,links,BE0 0,helmeth0,-1.3486168459895462,-0.8199532194539786,-0.5891946128395824
AC,links,BE0 0,residential rural resistive heater0,-227621.42338342272,,
AC,links,BE0 0,residential urban decentral resistive heater0,-907728.117066329,,
AC,links,BE0 0,services rural resistive heater0,-282738.32645633974,,
AC,links,BE0 0,services urban decentral resistive heater0,-414940.26565178664,,
AC,links,BE0 0,urban central resistive heater0,-258906.28557433982,,
AC,links,BE0 0 H2,H2 Fuel Cell1,1.3377934523762975,0.5313281128576686,0.4561991589269125
AC,links,BE0 0 H2,methanolisation2,-25.83553366080426,-149.41459333348314,-8.915423195385092
AC,links,BE0 0 battery,battery discharger1,9.351045387487115,4.00931249789236,3.3489654234988073
AC,links,BE0 0 gas,CCGT1,15679398.46127863,10395096.419778025,1419534.661442089
AC,links,BE0 0 gas,OCGT1,1.0385841074260005,0.33496785463348316,0.10204973061226523
AC,links,BE0 0 gas,urban central gas CHP CC1,2.4482676569593513,1.0299465371562466,0.30201090251625473
AC,links,BE0 0 gas,urban central gas CHP1,3.638898906673764,1.655841031746129,0.601171708621475
AC,links,BE0 0 solid biomass,solid biomass1,0.34760388265543496,0.2187070919257425,0.14861442558440446
AC,links,BE0 0 solid biomass,urban central solid biomass CHP CC1,0.20499629552107435,0.1413516482631546,0.11407552727790411
AC,links,BE0 0 solid biomass,urban central solid biomass CHP1,0.2531983485301792,0.16917358241947905,0.12180915468923251
AC,links,BG0 0,H2 Electrolysis0,-2.7815098969356007,-4.820336602012757,-15594848.86634263
AC,links,BG0 0,Haber-Bosch0,-18.773484518799215,-1.5404495343624744,-577410.1609566356
AC,links,BG0 0,battery charger0,-10.736581307108533,-5.2225967041323305,-6.135772286121972
AC,links,BG0 0,electricity distribution grid0,-25109135.59694783,-22976543.083777398,-16458460.584985042
AC,links,BG0 0,helmeth0,-1.3589036019536878,-0.7631597044033772,-0.5298788186748735
AC,links,BG0 0,residential rural resistive heater0,-306156.8812840667,,
AC,links,BG0 0,residential urban decentral air heat pump0,-907823.1987240432,,
AC,links,BG0 0,residential urban decentral resistive heater0,-254243.78909522237,,
AC,links,BG0 0,services rural resistive heater0,-176148.62809325533,,
AC,links,BG0 0,services urban decentral air heat pump0,-272418.0025358433,,
AC,links,BG0 0,services urban decentral resistive heater0,-71376.4445986945,,
